LineId,Time,Content,EventId,Date
7,2017-12-23 22:15:29.636,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,E58,2017-12-23
17,2017-12-23 22:15:29.950,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,E58,2017-12-23
24,2017-12-23 22:15:30.632,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,E58,2017-12-23
31,2017-12-23 22:15:31.143,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,E58,2017-12-23
38,2017-12-23 22:15:32.147,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,E58,2017-12-23
45,2017-12-23 22:15:32.648,setTodayTotalDetailSteps=1514038440000##7013##548365##8661##12836##27176966,E58,2017-12-23
52,2017-12-23 22:15:33.144,setTodayTotalDetailSteps=1514038440000##7014##548365##8661##12931##27177463,E58,2017-12-23
59,2017-12-23 22:15:33.644,setTodayTotalDetailSteps=1514038440000##7015##548365##8661##13026##27177962,E58,2017-12-23
69,2017-12-23 22:15:35.120,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13121##27179330,E58,2017-12-23
79,2017-12-23 22:15:35.980,setTodayTotalDetailSteps=1514038440000##7017##548365##8661##13216##27179417,E58,2017-12-23
89,2017-12-23 22:15:35.413,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,E58,2017-12-23
96,2017-12-23 22:15:36.149,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,E58,2017-12-23
103,2017-12-23 22:15:36.657,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,E58,2017-12-23
110,2017-12-23 22:15:37.653,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,E58,2017-12-23
117,2017-12-23 22:15:38.149,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,E58,2017-12-23
124,2017-12-23 22:15:38.654,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,E58,2017-12-23
