LineId,Time,Content,EventId,Date
9,2017-12-23 22:15:29.645,calculateCaloriesWithCache totalCalories=126775,E4,2017-12-23
18,2017-12-23 22:15:29.959,calculateCaloriesWithCache totalCalories=126797,E4,2017-12-23
25,2017-12-23 22:15:30.639,calculateCaloriesWithCache totalCalories=126818,E4,2017-12-23
32,2017-12-23 22:15:31.157,calculateCaloriesWithCache totalCalories=126861,E4,2017-12-23
39,2017-12-23 22:15:32.156,calculateCaloriesWithCache totalCalories=126882,E4,2017-12-23
46,2017-12-23 22:15:32.656,calculateCaloriesWithCache totalCalories=126904,E4,2017-12-23
53,2017-12-23 22:15:33.148,calculateCaloriesWithCache totalCalories=126925,E4,2017-12-23
60,2017-12-23 22:15:33.658,calculateCaloriesWithCache totalCalories=126947,E4,2017-12-23
70,2017-12-23 22:15:35.200,calculateCaloriesWithCache totalCalories=126989,E4,2017-12-23
81,2017-12-23 22:15:35.104,calculateCaloriesWithCache totalCalories=126989,E4,2017-12-23
90,2017-12-23 22:15:35.418,calculateCaloriesWithCache totalCalories=127011,E4,2017-12-23
97,2017-12-23 22:15:36.154,calculateCaloriesWithCache totalCalories=127032,E4,2017-12-23
104,2017-12-23 22:15:36.668,calculateCaloriesWithCache totalCalories=127054,E4,2017-12-23
111,2017-12-23 22:15:37.666,calculateCaloriesWithCache totalCalories=127075,E4,2017-12-23
118,2017-12-23 22:15:38.159,calculateCaloriesWithCache totalCalories=127097,E4,2017-12-23
125,2017-12-23 22:15:38.665,calculateCaloriesWithCache totalCalories=127118,E4,2017-12-23
132,2017-12-23 22:15:39.155,calculateCaloriesWithCache totalCalories=127139,E4,2017-12-23
139,2017-12-23 22:15:39.665,calculateCaloriesWithCache totalCalories=127161,E4,2017-12-23
146,2017-12-23 22:15:40.668,calculateCaloriesWithCache totalCalories=127182,E4,2017-12-23
153,2017-12-23 22:15:41.152,calculateCaloriesWithCache totalCalories=127204,E4,2017-12-23
160,2017-12-23 22:15:41.667,calculateCaloriesWithCache totalCalories=127225,E4,2017-12-23
167,2017-12-23 22:15:42.160,calculateCaloriesWithCache totalCalories=127246,E4,2017-12-23
174,2017-12-23 22:15:43.160,calculateCaloriesWithCache totalCalories=127268,E4,2017-12-23
181,2017-12-23 22:15:43.677,calculateCaloriesWithCache totalCalories=127289,E4,2017-12-23
188,2017-12-23 22:15:44.163,calculateCaloriesWithCache totalCalories=127311,E4,2017-12-23
195,2017-12-23 22:15:45.158,calculateCaloriesWithCache totalCalories=127332,E4,2017-12-23
202,2017-12-23 22:15:45.656,calculateCaloriesWithCache totalCalories=127354,E4,2017-12-23
209,2017-12-23 22:15:46.157,calculateCaloriesWithCache totalCalories=127375,E4,2017-12-23
216,2017-12-23 22:15:46.674,calculateCaloriesWithCache totalCalories=127396,E4,2017-12-23
223,2017-12-23 22:15:47.658,calculateCaloriesWithCache totalCalories=127418,E4,2017-12-23
230,2017-12-23 22:15:48.167,calculateCaloriesWithCache totalCalories=127439,E4,2017-12-23
237,2017-12-23 22:15:48.668,calculateCaloriesWithCache totalCalories=127461,E4,2017-12-23
244,2017-12-23 22:15:49.668,calculateCaloriesWithCache totalCalories=127482,E4,2017-12-23
251,2017-12-23 22:15:50.176,calculateCaloriesWithCache totalCalories=127504,E4,2017-12-23
258,2017-12-23 22:15:51.169,calculateCaloriesWithCache totalCalories=127525,E4,2017-12-23
265,2017-12-23 22:15:52.175,calculateCaloriesWithCache totalCalories=127568,E4,2017-12-23
272,2017-12-23 22:15:52.666,calculateCaloriesWithCache totalCalories=127589,E4,2017-12-23
279,2017-12-23 22:15:53.665,calculateCaloriesWithCache totalCalories=127632,E4,2017-12-23
286,2017-12-23 22:15:54.657,calculateCaloriesWithCache totalCalories=127653,E4,2017-12-23
293,2017-12-23 22:15:55.657,calculateCaloriesWithCache totalCalories=127696,E4,2017-12-23
300,2017-12-23 22:15:56.163,calculateCaloriesWithCache totalCalories=127739,E4,2017-12-23
